user_id,mmd_id,screen_id,task_start,task_end
msnv1,27,mmd,13:49:04.623000,13:50:26.148000
msnv1,27,questions,13:50:26.155000,13:51:06.592000
msnv1,60,mmd,13:51:06.633000,13:52:23.708000
msnv1,60,questions,13:52:23.719000,13:53:01.872000
msnv1,11,mmd,13:53:01.903000,13:54:19.388000
msnv1,11,questions,13:54:19.409000,13:54:52.025000
msnv1,30,mmd,13:54:52.043000,13:56:12.107000
msnv1,30,questions,13:56:12.117000,13:56:46.359000
msnv1,62,mmd,13:56:46.377000,13:57:51.888000
msnv1,62,questions,13:57:51.909000,13:58:49.992000
msnv1,72,mmd,13:58:50.015000,14:00:05.889000
msnv1,72,questions,14:00:05.910000,14:00:32.879000
msnv1,28,mmd,14:00:32.909000,14:01:29.656000
msnv1,28,questions,14:01:29.666000,14:01:47.747000
msnv1,74,mmd,14:01:47.766000,14:02:42.542000
msnv1,74,questions,14:02:42.555000,14:02:55.945000
msnv1,5,mmd,14:02:55.960000,14:04:33.820000
msnv1,5,questions,14:04:33.830000,14:05:12.337000
msnv1,20,mmd,14:05:12.355000,14:05:50.064000
msnv1,20,questions,14:05:50.077000,14:06:07.287000
msnv1,76,mmd,14:06:07.306000,14:06:44.985000
msnv1,76,questions,14:06:44.995000,14:07:06.809000
msnv1,66,mmd,14:07:06.828000,14:08:08.193000
msnv1,66,questions,14:08:08.203000,14:08:19.920000
msnv1,9,mmd,14:08:19.938000,14:08:59.275000
msnv1,9,questions,14:08:59.285000,14:09:17.775000
msnv1,3,mmd,14:09:17.793000,14:10:37.755000
msnv1,3,questions,14:10:37.770000,14:11:06.522000
msnv4,74,questions,16:31:32.043000,16:31:45.705000
msnv4,74,mmd,16:30:53.235000,16:31:31.964000
msnv4,11,questions,16:30:32.640000,16:30:52.993000
msnv4,11,mmd,16:29:39.784000,16:30:32.481000
msnv4,28,questions,16:29:23.115000,16:29:39.465000
msnv4,28,mmd,16:28:38.153000,16:29:23.031000
msnv4,76,questions,16:28:17.101000,16:28:37.953000
msnv4,76,mmd,16:27:29.514000,16:28:16.676000
msnv4,60,questions,16:27:07.234000,16:27:29.272000
msnv4,60,mmd,16:26:25.719000,16:27:06.982000
msnv4,3,questions,16:25:49.861000,16:26:25.411000
msnv4,3,mmd,16:24:32.919000,16:25:49.721000
msnv4,20,questions,16:24:09.605000,16:24:32.681000
msnv4,20,mmd,16:23:19.568000,16:24:09.432000
msnv4,66,questions,16:23:06.459000,16:23:19.280000
msnv4,66,mmd,16:22:21.782000,16:23:06.376000
msnv4,5,questions,16:21:52.215000,16:22:21.481000
msnv4,5,mmd,16:20:31.929000,16:21:52.091000
msnv4,62,questions,16:20:06.010000,16:20:31.569000
msnv4,62,mmd,16:19:16.786000,16:20:05.893000
msnv4,72,questions,16:18:52.673000,16:19:16.513000
msnv4,72,mmd,16:17:52.447000,16:18:52.519000
msnv4,9,questions,16:17:33.522000,16:17:52.129000
msnv4,9,mmd,16:16:37.954000,16:17:33.409000
msnv4,27,questions,16:16:22.167000,16:16:37.701000
msnv4,27,mmd,16:15:20.630000,16:16:22.081000
msnv4,30,questions,16:14:32.523000,16:15:20.370000
msnv4,30,mmd,16:13:24.565000,16:14:32.452000
msnv3,9,questions,14:42:11.591000,14:42:31.843000
msnv3,9,mmd,14:41:38.644000,14:42:11.197000
msnv3,60,questions,14:41:23.862000,14:41:38.412000
msnv3,60,mmd,14:40:53.572000,14:41:23.757000
msnv3,20,questions,14:40:37.075000,14:40:53.330000
msnv3,20,mmd,14:40:11.673000,14:40:36.955000
msnv3,5,questions,14:39:36.087000,14:40:11.421000
msnv3,5,mmd,14:38:33.412000,14:39:35.975000
msnv3,66,questions,14:38:21.910000,14:38:33.187000
msnv3,66,mmd,14:37:42.088000,14:38:21.667000
msnv3,72,questions,14:37:26.476000,14:37:41.773000
msnv3,72,mmd,14:36:49.608000,14:37:26.389000
msnv3,27,questions,14:36:22.011000,14:36:49.307000
msnv3,27,mmd,14:35:54.830000,14:36:21.897000
msnv3,28,questions,14:35:35.858000,14:35:54.459000
msnv3,28,mmd,14:34:24.608000,14:35:35.708000
msnv3,3,questions,14:33:52.251000,14:34:24.388000
msnv3,3,mmd,14:32:10.792000,14:33:52.082000
msnv3,74,questions,14:31:54.540000,14:32:10.532000
msnv3,74,mmd,14:31:17.860000,14:31:54.387000
msnv3,30,questions,14:30:55.341000,14:31:17.562000
msnv3,30,mmd,14:30:14.940000,14:30:55.243000
msnv3,11,questions,14:29:45.616000,14:30:14.705000
msnv3,11,mmd,14:28:55.151000,14:29:45.409000
msnv3,62,questions,14:28:06.672000,14:28:54.705000
msnv3,62,mmd,14:26:53.141000,14:28:06.578000
msnv3,76,questions,14:26:12.642000,14:26:52.833000
msnv3,76,mmd,14:24:24.365000,14:26:12.557000
msnv2,60,questions,15:44:51.509000,15:45:06.260000
msnv2,60,mmd,15:44:17.208000,15:44:51.435000
msnv2,30,questions,15:44:00.740000,15:44:16.997000
msnv2,30,mmd,15:43:14.996000,15:44:00.675000
msnv2,62,questions,15:42:47.326000,15:43:14.775000
msnv2,62,mmd,15:41:38.779000,15:42:47.157000
